time_s,ax,ay,az,gx,gy,gz,mx,my,mz
3.555440,1.263407,0.537527,9.797091,-0.610352,0.122070,-4.394531,19.347350,19.960078,-68.718222
3.572374,1.245261,0.584956,9.781227,-0.732422,-0.061035,-6.591797,17.945741,17.192951,-68.718222
3.589066,1.242993,0.603024,9.894541,-0.915527,0.366211,-9.033203,20.982561,18.807109,-70.325992
3.605645,1.279284,0.584956,9.801624,-0.915527,0.671387,-10.131836,19.347350,17.192951,-69.636948
3.622288,1.308772,0.582698,9.846949,-1.220703,0.122070,-13.793945,18.412944,18.576515,-69.177585
3.638463,1.063802,0.664004,9.640718,-1.770020,-0.427246,-18.737793,19.113748,19.268296,-68.947903
3.655417,1.261139,0.438152,9.602192,-2.014160,-0.488281,-19.042969,17.712139,18.345921,-69.866629
3.672435,1.195360,0.544303,9.733635,-1.953125,-0.244141,-18.249512,19.814553,17.654139,-71.015037
3.689019,1.390428,0.399758,9.960263,-1.831055,-0.549316,-16.845703,18.646545,20.190672,-69.407266
3.705576,1.340527,0.625609,9.561399,-1.831055,2.014160,-18.432617,17.712139,17.423545,-69.407266
3.721967,1.247529,0.460738,9.792559,-1.831055,-1.342773,-17.272949,18.880147,21.343641,-69.177585
3.738512,1.367746,0.426860,10.125700,-1.647949,0.244141,-15.991211,19.347350,16.731763,-70.096311
3.755231,1.227115,0.512684,9.860547,-1.708984,-0.061035,-17.028809,17.244936,18.345921,-69.407266
3.771732,1.592301,0.318451,9.774428,-1.098633,0.061035,-14.160156,20.281756,19.037702,-69.177585
3.787809,1.417647,0.508166,9.835618,-1.220703,-0.183105,-10.864258,19.113748,17.423545,-71.244718
3.804449,1.261139,0.573664,9.758564,-1.159668,-0.671387,-12.023926,16.076928,20.882454,-69.177585
3.821546,1.270212,0.587215,9.758564,-1.403809,0.000000,-13.977051,17.945741,22.266017,-68.718222
3.838681,1.283821,0.589473,9.783493,-1.464844,0.366211,-17.456055,16.777733,20.190672,-68.947903
3.855542,1.340527,0.456221,9.867345,-1.770020,-0.671387,-18.432617,17.011334,19.498890,-71.933763
3.872643,1.526522,0.447187,9.812955,-1.464844,-0.488281,-14.587402,17.011334,22.266017,-68.258859
3.889618,1.560546,0.998265,9.817487,-1.708984,0.366211,-15.380859,18.646545,22.035423,-69.866629
3.906745,1.360941,0.973421,9.871878,-2.075195,0.183105,-22.827148,19.113748,22.496611,-68.029177
3.923802,1.249797,-0.119701,9.944399,-1.464844,1.708984,-24.169922,18.179342,23.418987,-68.488540
3.940497,0.914099,0.092599,9.482079,-2.197266,-0.915527,-22.094727,15.142522,20.421266,-69.177585
3.957576,1.374550,0.214559,9.994257,-1.953125,0.793457,-19.348145,17.712139,21.113048,-68.488540
3.974600,1.279284,0.449445,9.815221,-1.586914,-0.732422,-15.991211,17.478538,22.727205,-66.421407
3.991511,1.233920,0.720467,9.402760,-1.525879,1.159668,-15.991211,18.412944,20.882454,-71.015037
4.008364,1.510644,0.476547,9.835618,-1.281738,-0.976562,-15.747070,16.544131,22.727205,-67.799496
